INFO  - 2014-05-20 17:42:46.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-05-20 17:42:46.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/dist/solr-velocity-4.8.0.jar' to classloader
INFO  - 2014-05-20 17:42:46.504; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-05-20 17:42:46.518; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2014-05-20 17:42:47.043; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-05-20 17:42:47.056; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-05-20 17:42:47.248; org.apache.solr.schema.IndexSchema; [pinder] Schema name=example
WARN  - 2014-05-20 17:42:47.467; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-20 17:42:47.479; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-20 17:42:47.491; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-20 17:42:47.504; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-20 17:42:47.515; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-05-20 17:42:48.641; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
INFO  - 2014-05-20 17:42:48.724; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-05-20 17:42:48.754; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-05-20 17:42:48.756; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-05-20 17:42:48.992; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-05-20 17:42:49.009; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-05-20 17:42:49.297; org.apache.solr.core.CoreContainer; Creating SolrCore 'pinder' using configuration from instancedir /opt/solr/example/solr/pinder/
INFO  - 2014-05-20 17:42:49.330; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-05-20 17:42:49.346; org.apache.solr.core.SolrCore; [pinder] Opening new SolrCore at /opt/solr/example/solr/pinder/, dataDir=/opt/solr/example/solr/pinder/data/
INFO  - 2014-05-20 17:42:49.349; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-05-20 17:42:49.359; org.apache.solr.core.SolrCore; [pinder] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-05-20 17:42:49.359; org.apache.solr.core.SolrCore; [pinder] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-05-20 17:42:49.389; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/example/solr/pinder/data
INFO  - 2014-05-20 17:42:49.394; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/example/solr/pinder/data/index/
INFO  - 2014-05-20 17:42:49.396; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/example/solr/pinder/data/index
INFO  - 2014-05-20 17:42:49.422; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-05-20 17:42:49.422; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-05-20 17:42:49.423; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-05-20 17:42:49.431; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
